study_accession,individual_accession,sample_accession,experiment_accession,run_accession,file_name,file_path,file_format,strategy,T1_id,semantic_format,size,platform,data_level,individual_name,sample_name
HRA000021,HRI035297,HRS039814,HRX048856,HRR067369,HRR067369_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067369_1.fastq.gz,fastq.gz,WGS,HRR067369_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067369_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0019,BDESCC0019N
HRA000021,HRI035297,HRS039814,HRX048856,HRR067369,HRR067369_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067369_2.fastq.gz,fastq.gz,WGS,HRR067369_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067369_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0019,BDESCC0019N
HRA000021,HRI035297,HRS039815,HRX048857,HRR067370,HRR067370_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067370_1.fastq.gz,fastq.gz,WGS,HRR067370_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067370_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0019,BDESCC0019T
HRA000021,HRI035297,HRS039815,HRX048857,HRR067370,HRR067370_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067370_2.fastq.gz,fastq.gz,WGS,HRR067370_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067370_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0019,BDESCC0019T
HRA000021,HRI035298,HRS039816,HRX048858,HRR067371,HRR067371_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067371_1.fastq.gz,fastq.gz,WGS,HRR067371_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067371_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0020,BDESCC0020N
HRA000021,HRI035298,HRS039816,HRX048858,HRR067371,HRR067371_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067371_2.fastq.gz,fastq.gz,WGS,HRR067371_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067371_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0020,BDESCC0020N
HRA000021,HRI035298,HRS039817,HRX048859,HRR067372,HRR067372_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067372_1.fastq.gz,fastq.gz,WGS,HRR067372_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067372_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0020,BDESCC0020T
HRA000021,HRI035298,HRS039817,HRX048859,HRR067372,HRR067372_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067372_2.fastq.gz,fastq.gz,WGS,HRR067372_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067372_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0020,BDESCC0020T
HRA000021,HRI035299,HRS039818,HRX048860,HRR067373,HRR067373_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067373_1.fastq.gz,fastq.gz,WGS,HRR067373_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067373_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0023,BDESCC0023N
HRA000021,HRI035299,HRS039818,HRX048860,HRR067373,HRR067373_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067373_2.fastq.gz,fastq.gz,WGS,HRR067373_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067373_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0023,BDESCC0023N
HRA000021,HRI035299,HRS039819,HRX048861,HRR067374,HRR067374_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067374_1.fastq.gz,fastq.gz,WGS,HRR067374_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067374_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0023,BDESCC0023T
HRA000021,HRI035299,HRS039819,HRX048861,HRR067374,HRR067374_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067374_2.fastq.gz,fastq.gz,WGS,HRR067374_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067374_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0023,BDESCC0023T
HRA000021,HRI035300,HRS039820,HRX048862,HRR067375,HRR067375_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067375_1.fastq.gz,fastq.gz,WGS,HRR067375_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067375_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0026,BDESCC0026N
HRA000021,HRI035300,HRS039820,HRX048862,HRR067375,HRR067375_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067375_2.fastq.gz,fastq.gz,WGS,HRR067375_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067375_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0026,BDESCC0026N
