T1_id,sample_accession
HRR067424_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067424_1.fastq.gz,HRS039869
HRR067424_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067424_2.fastq.gz,HRS039869
HRR067425_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067425_1.fastq.gz,HRS039870
HRR067425_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067425_2.fastq.gz,HRS039870
HRR067426_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067426_1.fastq.gz,HRS039871
HRR067426_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067426_2.fastq.gz,HRS039871
HRR067427_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067427_1.fastq.gz,HRS039872
HRR067427_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067427_2.fastq.gz,HRS039872
HRR067428_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067428_1.fastq.gz,HRS039873
HRR067428_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067428_2.fastq.gz,HRS039873
HRR067429_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067429_1.fastq.gz,HRS039874
HRR067429_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067429_2.fastq.gz,HRS039874
HRR067430_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067430_1.fastq.gz,HRS039875
HRR067430_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067430_2.fastq.gz,HRS039875
HRR067431_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067431_1.fastq.gz,HRS039876
HRR067431_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067431_2.fastq.gz,HRS039876
HRR067432_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067432_1.fastq.gz,HRS039877
HRR067432_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067432_2.fastq.gz,HRS039877
HRR067433_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067433_1.fastq.gz,HRS039878
HRR067433_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067433_2.fastq.gz,HRS039878
HRR067434_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067434_1.fastq.gz,HRS039879
HRR067434_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067434_2.fastq.gz,HRS039879
HRR067435_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067435_1.fastq.gz,HRS039880
HRR067435_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067435_2.fastq.gz,HRS039880
HRR067436_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067436_1.fastq.gz,HRS039881
HRR067436_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067436_2.fastq.gz,HRS039881
HRR067437_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067437_1.fastq.gz,HRS039882
HRR067437_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067437_2.fastq.gz,HRS039882
HRR067438_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067438_1.fastq.gz,HRS039883
HRR067438_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067438_2.fastq.gz,HRS039883
HRR067439_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067439_1.fastq.gz,HRS039884
HRR067439_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067439_2.fastq.gz,HRS039884
HRR067440_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067440_1.fastq.gz,HRS039885
HRR067440_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067440_2.fastq.gz,HRS039885
HRR067441_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067441_1.fastq.gz,HRS039886
HRR067441_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067441_2.fastq.gz,HRS039886
HRR067442_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067442_1.fastq.gz,HRS039887
HRR067442_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067442_2.fastq.gz,HRS039887
HRR067443_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067443_1.fastq.gz,HRS039888
HRR067443_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067443_2.fastq.gz,HRS039888
HRR067444_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067444_1.fastq.gz,HRS039889
HRR067444_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067444_2.fastq.gz,HRS039889
HRR067445_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067445_1.fastq.gz,HRS039890
HRR067445_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067445_2.fastq.gz,HRS039890
HRR067446_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067446_1.fastq.gz,HRS039891
HRR067446_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067446_2.fastq.gz,HRS039891
HRR067447_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067447_1.fastq.gz,HRS039892
HRR067447_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067447_2.fastq.gz,HRS039892
HRR067448_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067448_1.fastq.gz,HRS039893
HRR067448_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067448_2.fastq.gz,HRS039893
HRR067449_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067449_1.fastq.gz,HRS039894
HRR067449_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067449_2.fastq.gz,HRS039894
HRR067450_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067450_1.fastq.gz,HRS039895
HRR067450_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067450_2.fastq.gz,HRS039895
HRR067451_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067451_1.fastq.gz,HRS039896
HRR067451_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067451_2.fastq.gz,HRS039896
HRR067452_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067452_1.fastq.gz,HRS039897
HRR067452_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067452_2.fastq.gz,HRS039897
HRR067453_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067453_1.fastq.gz,HRS039898
HRR067453_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067453_2.fastq.gz,HRS039898
HRR067454_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067454_1.fastq.gz,HRS039899
HRR067454_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067454_2.fastq.gz,HRS039899
HRR067455_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067455_1.fastq.gz,HRS039900
HRR067455_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067455_2.fastq.gz,HRS039900
HRR067456_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067456_1.fastq.gz,HRS039901
HRR067456_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067456_2.fastq.gz,HRS039901
HRR067457_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067457_1.fastq.gz,HRS039902
HRR067457_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067457_2.fastq.gz,HRS039902
HRR067458_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067458_1.fastq.gz,HRS039903
HRR067458_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067458_2.fastq.gz,HRS039903
