t1_id,semantic_format
HRR067410_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067410_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067410_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067410_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067411_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067411_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067411_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067411_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067412_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067412_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067412_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067412_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067413_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067413_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067413_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067413_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067414_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067414_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067414_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067414_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067415_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067415_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067415_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067415_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067416_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067416_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067416_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067416_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067417_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067417_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067417_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067417_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067418_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067418_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067418_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067418_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067419_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067419_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067419_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067419_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067420_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067420_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067420_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067420_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067421_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067421_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067421_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067421_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067422_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067422_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067422_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067422_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067423_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067423_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067423_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067423_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067424_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067424_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067424_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067424_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067425_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067425_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067425_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067425_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067426_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067426_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067426_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067426_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067427_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067427_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067427_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067427_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067428_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067428_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067428_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067428_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067429_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067429_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067429_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067429_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067430_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067430_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067430_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067430_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067431_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067431_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067431_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067431_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067432_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067432_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067432_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067432_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067433_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067433_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067433_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067433_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067434_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067434_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067434_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067434_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067435_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067435_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067435_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067435_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
