T2_id,run_accession,T1_id
HRR067362.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067362.BQSR.bam,HRR067362,HRR067362_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067362_2.fastq.gz
HRR067362.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067362.BQSR.bam.bai,HRR067362,HRR067362_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067362_1.fastq.gz
HRR067362.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067362.BQSR.bam.bai,HRR067362,HRR067362_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067362_2.fastq.gz
HRR067363.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067363.BQSR.bam,HRR067363,HRR067363_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067363_1.fastq.gz
HRR067363.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067363.BQSR.bam,HRR067363,HRR067363_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067363_2.fastq.gz
HRR067363.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067363.BQSR.bam.bai,HRR067363,HRR067363_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067363_1.fastq.gz
HRR067363.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067363.BQSR.bam.bai,HRR067363,HRR067363_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067363_2.fastq.gz
HRR067364.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067364.BQSR.bam,HRR067364,HRR067364_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067364_1.fastq.gz
HRR067364.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067364.BQSR.bam,HRR067364,HRR067364_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067364_2.fastq.gz
HRR067364.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067364.BQSR.bam.bai,HRR067364,HRR067364_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067364_1.fastq.gz
HRR067364.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067364.BQSR.bam.bai,HRR067364,HRR067364_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067364_2.fastq.gz
HRR067365.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067365.BQSR.bam,HRR067365,HRR067365_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067365_1.fastq.gz
HRR067365.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067365.BQSR.bam,HRR067365,HRR067365_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067365_2.fastq.gz
HRR067365.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067365.BQSR.bam.bai,HRR067365,HRR067365_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067365_1.fastq.gz
HRR067365.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067365.BQSR.bam.bai,HRR067365,HRR067365_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067365_2.fastq.gz
HRR067366.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067366.BQSR.bam,HRR067366,HRR067366_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067366_1.fastq.gz
HRR067366.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067366.BQSR.bam,HRR067366,HRR067366_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067366_2.fastq.gz
HRR067366.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067366.BQSR.bam.bai,HRR067366,HRR067366_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067366_1.fastq.gz
HRR067366.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067366.BQSR.bam.bai,HRR067366,HRR067366_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067366_2.fastq.gz
HRR067367.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067367.BQSR.bam,HRR067367,HRR067367_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067367_1.fastq.gz
HRR067367.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067367.BQSR.bam,HRR067367,HRR067367_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067367_2.fastq.gz
HRR067367.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067367.BQSR.bam.bai,HRR067367,HRR067367_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067367_1.fastq.gz
HRR067367.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067367.BQSR.bam.bai,HRR067367,HRR067367_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067367_2.fastq.gz
HRR067368.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067368.BQSR.bam,HRR067368,HRR067368_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067368_1.fastq.gz
HRR067368.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067368.BQSR.bam,HRR067368,HRR067368_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067368_2.fastq.gz
HRR067368.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067368.BQSR.bam.bai,HRR067368,HRR067368_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067368_1.fastq.gz
HRR067368.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067368.BQSR.bam.bai,HRR067368,HRR067368_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067368_2.fastq.gz
HRR067369.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067369.BQSR.bam,HRR067369,HRR067369_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067369_1.fastq.gz
HRR067369.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067369.BQSR.bam,HRR067369,HRR067369_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067369_2.fastq.gz
HRR067369.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067369.BQSR.bam.bai,HRR067369,HRR067369_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067369_1.fastq.gz
HRR067369.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067369.BQSR.bam.bai,HRR067369,HRR067369_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067369_2.fastq.gz
HRR067370.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067370.BQSR.bam,HRR067370,HRR067370_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067370_1.fastq.gz
HRR067370.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067370.BQSR.bam,HRR067370,HRR067370_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067370_2.fastq.gz
HRR067370.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067370.BQSR.bam.bai,HRR067370,HRR067370_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067370_1.fastq.gz
HRR067370.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067370.BQSR.bam.bai,HRR067370,HRR067370_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067370_2.fastq.gz
HRR067371.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067371.BQSR.bam,HRR067371,HRR067371_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067371_1.fastq.gz
HRR067371.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067371.BQSR.bam,HRR067371,HRR067371_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067371_2.fastq.gz
