sample_accession,specimen_types,tissue_type
HRS024347,Patient Solid Tissue,Tumor
HRS024348,Patient Solid Tissue,Tumor
HRS024349,Patient Solid Tissue,Tumor
HRS024350,Patient Solid Tissue,Tumor
HRS024351,Patient Solid Tissue,Tumor
HRS024352,Patient Solid Tissue,Tumor
HRS024353,Patient Solid Tissue,Tumor
HRS024354,Patient Solid Tissue,Tumor
HRS024355,Patient Solid Tissue,Tumor
HRS024356,Patient Solid Tissue,Tumor
HRS024357,Patient Solid Tissue,Tumor
HRS024358,Patient Solid Tissue,Tumor
HRS024359,Patient Solid Tissue,Tumor
HRS024360,Patient Solid Tissue,Tumor
HRS024361,Patient Solid Tissue,Tumor
HRS024362,Patient Solid Tissue,Tumor
HRS024363,Patient Solid Tissue,Tumor
HRS024364,Patient Solid Tissue,Tumor
HRS024365,Patient Solid Tissue,Tumor
HRS024366,Patient Solid Tissue,Tumor
HRS024367,Patient Solid Tissue,Tumor
HRS024368,Patient Solid Tissue,Tumor
HRS024369,Patient Solid Tissue,Tumor
HRS024370,Patient Solid Tissue,Tumor
HRS024371,Patient Solid Tissue,Tumor
HRS024372,Patient Solid Tissue,Tumor
HRS024373,Patient Solid Tissue,Tumor
HRS024374,Patient Solid Tissue,Tumor
HRS024375,Patient Solid Tissue,Tumor
HRS024376,Patient Solid Tissue,Tumor
HRS024377,Patient Solid Tissue,Tumor
HRS024378,Patient Solid Tissue,Tumor
HRS024379,Patient Solid Tissue,Tumor
HRS024380,Patient Solid Tissue,Tumor
HRS024381,Patient Solid Tissue,Tumor
HRS024382,Patient Solid Tissue,Tumor
HRS024383,Patient Solid Tissue,Tumor
HRS024384,Patient Solid Tissue,Tumor
HRS024385,Patient Solid Tissue,Tumor
HRS024386,Patient Solid Tissue,Tumor
HRS024387,Patient Solid Tissue,Tumor
HRS024388,Patient Solid Tissue,Tumor
HRS024389,Patient Solid Tissue,Tumor
HRS024390,Patient Solid Tissue,Tumor
HRS024391,Patient Solid Tissue,Tumor
HRS024392,Patient Solid Tissue,Tumor
