files,data_level
HRR024982_r2.fq.gz,1
HRR024983_f1.fq.gz,1
HRR024983_r2.fq.gz,1
HRR024984_f1.fq.gz,1
HRR024984_r2.fq.gz,1
HRR024985_f1.fq.gz,1
HRR024985_r2.fq.gz,1
HRR024986_f1.fq.gz,1
HRR024986_r2.fq.gz,1
HRR024987_f1.fq.gz,1
HRR024987_r2.fq.gz,1
HRR024988_f1.fq.gz,1
HRR024988_r2.fq.gz,1
HRR024989_f1.fq.gz,1
HRR024989_r2.fq.gz,1
HRR024990_f1.fq.gz,1
HRR024990_r2.fq.gz,1
HRR024991_f1.fq.gz,1
HRR024991_r2.fq.gz,1
HRR024992_f1.fq.gz,1
HRR024992_r2.fq.gz,1
HRR024993_f1.fq.gz,1
HRR024993_r2.fq.gz,1
HRR024994_f1.fq.gz,1
HRR024994_r2.fq.gz,1
HRR024995_f1.fq.gz,1
HRR024995_r2.fq.gz,1
HRR024996_f1.fq.gz,1
HRR024996_r2.fq.gz,1
HRR024997_f1.fq.gz,1
HRR024997_r2.fq.gz,1
HRR024998_f1.fq.gz,1
HRR024998_r2.fq.gz,1
HRR024999_f1.fq.gz,1
HRR024999_r2.fq.gz,1
HRR025000_f1.fq.gz,1
HRR025000_r2.fq.gz,1
HRR025001_f1.fq.gz,1
HRR025001_r2.fq.gz,1
HRR025002_f1.fq.gz,1
HRR025002_r2.fq.gz,1
HRR025003_f1.fq.gz,1
HRR025003_r2.fq.gz,1
HRR025004_f1.fq.gz,1
HRR025004_r2.fq.gz,1
HRR025005_f1.fq.gz,1
HRR025005_r2.fq.gz,1
HRR025006_f1.fq.gz,1
HRR025006_r2.fq.gz,1
HRR025007_f1.fq.gz,1
HRR025007_r2.fq.gz,1
HRR025008_f1.fq.gz,1
HRR025008_r2.fq.gz,1
HRR025009_f1.fq.gz,1
HRR025009_r2.fq.gz,1
HRR025010_f1.fq.gz,1
HRR025010_r2.fq.gz,1
HRR025011_f1.fq.gz,1
HRR025011_r2.fq.gz,1
HRR025012_f1.fq.gz,1
HRR025012_r2.fq.gz,1
HRR025013_f1.fq.gz,1
HRR025013_r2.fq.gz,1
HRR025014_f1.fq.gz,1
HRR025014_r2.fq.gz,1
HRR025015_f1.fq.gz,1
HRR025015_r2.fq.gz,1
HRR025016_f1.fq.gz,1
HRR025016_r2.fq.gz,1
HRR025017_f1.fq.gz,1
HRR025017_r2.fq.gz,1
HRR025018_f1.fq.gz,1
HRR025018_r2.fq.gz,1
HRR025019_f1.fq.gz,1
HRR025019_r2.fq.gz,1
HRR025020_f1.fq.gz,1
HRR025020_r2.fq.gz,1
HRR025021_f1.fq.gz,1
HRR025021_r2.fq.gz,1
HRR025022_f1.fq.gz,1
HRR025022_r2.fq.gz,1
HRR025023_f1.fq.gz,1
HRR025023_r2.fq.gz,1
HRR025024_f1.fq.gz,1
HRR025024_r2.fq.gz,1
HRR025025_f1.fq.gz,1
HRR025025_r2.fq.gz,1
HRR025026_f1.fq.gz,1
HRR025026_r2.fq.gz,1
HRR025027_f1.fq.gz,1
HRR025027_r2.fq.gz,1
