sample_accession,individual_accession
HRS024634,HRI024634
HRS024635,HRI024635
HRS024636,HRI024636
HRS024637,HRI024637
HRS024638,HRI024638
HRS024639,HRI024639
HRS024640,HRI024640
HRS024641,HRI024641
HRS024642,HRI024642
HRS024643,HRI024643
HRS024644,HRI024644
HRS024645,HRI024645
HRS024646,HRI024646
HRS024647,HRI024647
HRS024648,HRI024648
HRS024649,HRI024649
HRS024650,HRI024650
HRS024651,HRI024651
HRS024652,HRI024652
HRS024653,HRI024653
HRS024654,HRI024654
HRS024655,HRI024655
HRS024656,HRI024656
HRS024657,HRI024657
HRS024658,HRI024658
HRS024659,HRI024659
HRS024660,HRI024660
HRS024661,HRI024661
HRS024662,HRI024662
HRS024663,HRI024663
HRS024664,HRI024664
HRS024665,HRI024665
HRS024666,HRI024666
HRS024667,HRI024667
HRS024668,HRI024668
HRS024669,HRI024669
HRS024670,HRI024670
HRS024671,HRI024671
HRS024672,HRI024672
HRS024673,HRI024673
HRS024674,HRI024674
HRS024675,HRI024675
HRS024676,HRI024676
HRS024677,HRI024677
HRS024678,HRI024678
HRS024679,HRI024679
HRS024680,HRI024680
HRS024681,HRI024681
HRS024682,HRI024682
HRS024683,HRI024683
HRS024684,HRI024684
HRS024685,HRI024685
HRS024686,HRI024686
HRS024687,HRI024687
HRS024688,HRI024688
HRS024689,HRI024689
HRS024690,HRI024690
HRS024691,HRI024691
HRS024692,HRI024692
HRS024693,HRI024693
HRS024694,HRI024694
HRS024695,HRI024695
HRS024696,HRI024696
HRS024697,HRI024697
HRS024698,HRI024698
HRS024699,HRI024699
HRS024700,HRI024700
HRS024701,HRI024701
HRS024702,HRI024702
HRS024703,HRI024703
HRS024704,HRI024704
HRS024705,HRI024705
HRS024706,HRI024706
HRS024707,HRI024707
HRS024708,HRI024708
HRS024709,HRI024709
HRS024710,HRI024710
HRS024711,HRI024711
HRS024712,HRI024712
HRS024713,HRI024713
HRS024714,HRI024714
HRS024715,HRI024715
HRS024716,HRI024716
HRS024717,HRI024717
HRS024718,HRI024718
HRS024719,HRI024719
HRS024720,HRI024720
HRS024721,HRI024721
HRS024722,HRI024722
HRS024723,HRI024723
HRS024724,HRI024724
HRS024725,HRI024725
