files,modal
HRR068248.bam::NOT_FOUND,WES
HRR068249.bam::NOT_FOUND,WES
HRR068250.bam::NOT_FOUND,WES
HRR068251.bam::NOT_FOUND,WES
HRR068252.bam::NOT_FOUND,WES
HRR068253.bam::NOT_FOUND,WES
HRR068254.bam::NOT_FOUND,WES
HRR068255.bam::NOT_FOUND,WES
HRR068256.bam::NOT_FOUND,WES
HRR068257.bam::NOT_FOUND,WES
HRR068258.bam::NOT_FOUND,WES
HRR068259.bam::NOT_FOUND,WES
HRR068260.bam::NOT_FOUND,WES
HRR068261.bam::NOT_FOUND,WES
HRR068262.bam::NOT_FOUND,WES
HRR068263.bam::NOT_FOUND,WES
HRR068264.bam::NOT_FOUND,WES
HRR068265.bam::NOT_FOUND,WES
HRR068266.bam::NOT_FOUND,WES
HRR068267.bam::NOT_FOUND,WES
HRR068268.bam::NOT_FOUND,WES
HRR068269.bam::NOT_FOUND,WES
HRR068270.bam::NOT_FOUND,WES
HRR068271.bam::NOT_FOUND,WES
HRR068272.bam::NOT_FOUND,WES
HRR068273.bam::NOT_FOUND,WES
HRR068274.bam::NOT_FOUND,WES
HRR068275.bam::NOT_FOUND,WES
HRR068276.bam::NOT_FOUND,WES
HRR068277.bam::NOT_FOUND,WES
HRR068278.bam::NOT_FOUND,WES
HRR068279.bam::NOT_FOUND,WES
HRR068280.bam::NOT_FOUND,WES
HRR068281.bam::NOT_FOUND,WES
HRR068282.bam::NOT_FOUND,WES
HRR068283.bam::NOT_FOUND,WES
HRR068284.bam::NOT_FOUND,WES
HRR068285.bam::NOT_FOUND,WES
HRR068286.bam::NOT_FOUND,WES
HRR068287.bam::NOT_FOUND,WES
HRR068288.bam::NOT_FOUND,WES
HRR068289.bam::NOT_FOUND,WES
HRR068290.bam::NOT_FOUND,WES
HRR068291.bam::NOT_FOUND,WES
HRR068292.bam::NOT_FOUND,WES
HRR068293.bam::NOT_FOUND,WES
HRR068294.bam::NOT_FOUND,WES
HRR068295.bam::NOT_FOUND,WES
HRR068296.bam::NOT_FOUND,WES
HRR068297.bam::NOT_FOUND,WES
HRR068298.bam::NOT_FOUND,WES
HRR068299.bam::NOT_FOUND,WES
HRR068300.bam::NOT_FOUND,WES
HRR068301.bam::NOT_FOUND,WES
HRR068302.bam::NOT_FOUND,WES
HRR068303.bam::NOT_FOUND,WES
HRR068304.bam::NOT_FOUND,WES
HRR068305.bam::NOT_FOUND,WES
HRR068306.bam::NOT_FOUND,WES
HRR068307.bam::NOT_FOUND,WES
HRR068308.bam::NOT_FOUND,WES
HRR068309.bam::NOT_FOUND,WES
HRR068310.bam::NOT_FOUND,WES
HRR068311.bam::NOT_FOUND,WES
HRR068312.bam::NOT_FOUND,WES
HRR068313.bam::NOT_FOUND,WES
HRR068314.bam::NOT_FOUND,WES
HRR068315.bam::NOT_FOUND,WES
HRR068316.bam::NOT_FOUND,WES
HRR068317.bam::NOT_FOUND,WES
HRR068318.bam::NOT_FOUND,WES
HRR068319.bam::NOT_FOUND,WES
HRR068320.bam::NOT_FOUND,WES
HRR068321.bam::NOT_FOUND,WES
HRR068322.bam::NOT_FOUND,WES
HRR068323.bam::NOT_FOUND,WES
HRR068324.bam::NOT_FOUND,WES
HRR068325.bam::NOT_FOUND,WES
HRR068326.bam::NOT_FOUND,WES
HRR068327.bam::NOT_FOUND,WES
HRR068328.bam::NOT_FOUND,WES
HRR068329.bam::NOT_FOUND,WES
HRR068330.bam::NOT_FOUND,WES
HRR068331.bam::NOT_FOUND,WES
HRR068332.bam::NOT_FOUND,WES
HRR068333.bam::NOT_FOUND,WES
HRR068334.bam::NOT_FOUND,WES
HRR068335.bam::NOT_FOUND,WES
HRR068336.bam::NOT_FOUND,WES
HRR068337.bam::NOT_FOUND,WES
HRR068338.bam::NOT_FOUND,WES
HRR068339.bam::NOT_FOUND,WES
HRR068340.bam::NOT_FOUND,WES
HRR068341.bam::NOT_FOUND,WES
HRR068342.bam::NOT_FOUND,WES
