t2_id,run_accession,files
HRR233137.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233137.BQSR.bam,HRR233137,HRR233137_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233137/HRR233137_f1.fastq.gz
HRR233137.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233137.BQSR.bam,HRR233137,HRR233137_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233137/HRR233137_r2.fastq.gz
HRR233138.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233138.BQSR.bam,HRR233138,HRR233138_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233138/HRR233138_f1.fastq.gz
HRR233138.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233138.BQSR.bam,HRR233138,HRR233138_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233138/HRR233138_r2.fastq.gz
HRR233139.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233139.BQSR.bam,HRR233139,HRR233139_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233139/HRR233139_f1.fastq.gz
HRR233139.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233139.BQSR.bam,HRR233139,HRR233139_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233139/HRR233139_r2.fastq.gz
HRR233140.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233140.BQSR.bam,HRR233140,HRR233140_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233140/HRR233140_f1.fastq.gz
HRR233140.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233140.BQSR.bam,HRR233140,HRR233140_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233140/HRR233140_r2.fastq.gz
HRR233141.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233141.BQSR.bam,HRR233141,HRR233141_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233141/HRR233141_f1.fastq.gz
HRR233141.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233141.BQSR.bam,HRR233141,HRR233141_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233141/HRR233141_r2.fastq.gz
HRR233142.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233142.BQSR.bam,HRR233142,HRR233142_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233142/HRR233142_f1.fastq.gz
HRR233142.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233142.BQSR.bam,HRR233142,HRR233142_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233142/HRR233142_r2.fastq.gz
HRR233143.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233143.BQSR.bam,HRR233143,HRR233143_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233143/HRR233143_f1.fastq.gz
HRR233143.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233143.BQSR.bam,HRR233143,HRR233143_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233143/HRR233143_r2.fastq.gz
HRR233144.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233144.BQSR.bam,HRR233144,HRR233144_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233144/HRR233144_f1.fastq.gz
HRR233144.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233144.BQSR.bam,HRR233144,HRR233144_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233144/HRR233144_r2.fastq.gz
HRR233145.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233145.BQSR.bam,HRR233145,HRR233145_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233145/HRR233145_f1.fastq.gz
HRR233145.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233145.BQSR.bam,HRR233145,HRR233145_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233145/HRR233145_r2.fastq.gz
HRR233146.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233146.BQSR.bam,HRR233146,HRR233146_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233146/HRR233146_f1.fastq.gz
HRR233146.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233146.BQSR.bam,HRR233146,HRR233146_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233146/HRR233146_r2.fastq.gz
HRR233147.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233147.BQSR.bam,HRR233147,HRR233147_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233147/HRR233147_f1.fastq.gz
HRR233147.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233147.BQSR.bam,HRR233147,HRR233147_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233147/HRR233147_r2.fastq.gz
HRR233148.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233148.BQSR.bam,HRR233148,HRR233148_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233148/HRR233148_f1.fastq.gz
HRR233148.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233148.BQSR.bam,HRR233148,HRR233148_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233148/HRR233148_r2.fastq.gz
HRR233149.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233149.BQSR.bam,HRR233149,HRR233149_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233149/HRR233149_f1.fastq.gz
HRR233149.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233149.BQSR.bam,HRR233149,HRR233149_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233149/HRR233149_r2.fastq.gz
HRR233150.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233150.BQSR.bam,HRR233150,HRR233150_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233150/HRR233150_f1.fastq.gz
HRR233150.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233150.BQSR.bam,HRR233150,HRR233150_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233150/HRR233150_r2.fastq.gz
HRR233151.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233151.BQSR.bam,HRR233151,HRR233151_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233151/HRR233151_f1.fastq.gz
HRR233151.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233151.BQSR.bam,HRR233151,HRR233151_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233151/HRR233151_r2.fastq.gz
HRR233152.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233152.BQSR.bam,HRR233152,HRR233152_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233152/HRR233152_f1.fastq.gz
HRR233152.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233152.BQSR.bam,HRR233152,HRR233152_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233152/HRR233152_r2.fastq.gz
HRR233153.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233153.BQSR.bam,HRR233153,HRR233153_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233153/HRR233153_f1.fastq.gz
HRR233153.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233153.BQSR.bam,HRR233153,HRR233153_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233153/HRR233153_r2.fastq.gz
HRR233154.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233154.BQSR.bam,HRR233154,HRR233154_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233154/HRR233154_f1.fastq.gz
HRR233154.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233154.BQSR.bam,HRR233154,HRR233154_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233154/HRR233154_r2.fastq.gz
HRR233155.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233155.BQSR.bam,HRR233155,HRR233155_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233155/HRR233155_f1.fastq.gz
HRR233155.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233155.BQSR.bam,HRR233155,HRR233155_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233155/HRR233155_r2.fastq.gz
HRR233156.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233156.BQSR.bam,HRR233156,HRR233156_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233156/HRR233156_f1.fastq.gz
HRR233156.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233156.BQSR.bam,HRR233156,HRR233156_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233156/HRR233156_r2.fastq.gz
HRR233157.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233157.BQSR.bam,HRR233157,HRR233157_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233157/HRR233157_f1.fastq.gz
HRR233157.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233157.BQSR.bam,HRR233157,HRR233157_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233157/HRR233157_r2.fastq.gz
HRR233158.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233158.BQSR.bam,HRR233158,HRR233158_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233158/HRR233158_f1.fastq.gz
HRR233158.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233158.BQSR.bam,HRR233158,HRR233158_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233158/HRR233158_r2.fastq.gz
HRR233159.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233159.BQSR.bam,HRR233159,HRR233159_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233159/HRR233159_f1.fastq.gz
HRR233159.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233159.BQSR.bam,HRR233159,HRR233159_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233159/HRR233159_r2.fastq.gz
HRR233160.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233160.BQSR.bam,HRR233160,HRR233160_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233160/HRR233160_f1.fastq.gz
HRR233160.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233160.BQSR.bam,HRR233160,HRR233160_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233160/HRR233160_r2.fastq.gz
HRR233161.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233161.BQSR.bam,HRR233161,HRR233161_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233161/HRR233161_f1.fastq.gz
HRR233161.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233161.BQSR.bam,HRR233161,HRR233161_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233161/HRR233161_r2.fastq.gz
HRR233162.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233162.BQSR.bam,HRR233162,HRR233162_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233162/HRR233162_f1.fastq.gz
HRR233162.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233162.BQSR.bam,HRR233162,HRR233162_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233162/HRR233162_r2.fastq.gz
HRR233163.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233163.BQSR.bam,HRR233163,HRR233163_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233163/HRR233163_f1.fastq.gz
HRR233163.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233163.BQSR.bam,HRR233163,HRR233163_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233163/HRR233163_r2.fastq.gz
