t2_id,study_accession
HRR067968.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067968.BQSR.bam,HRA000021
HRR067969.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067969.BQSR.bam,HRA000021
HRR067970.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067970.BQSR.bam,HRA000021
HRR067971.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067971.BQSR.bam,HRA000021
HRR067972.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067972.BQSR.bam,HRA000021
HRR067973.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067973.BQSR.bam,HRA000021
HRR067974.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067974.BQSR.bam,HRA000021
HRR067975.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067975.BQSR.bam,HRA000021
HRR067976.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067976.BQSR.bam,HRA000021
HRR067977.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067977.BQSR.bam,HRA000021
HRR067978.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067978.BQSR.bam,HRA000021
HRR067979.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067979.BQSR.bam,HRA000021
HRR067980.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067980.BQSR.bam,HRA000021
HRR067981.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067981.BQSR.bam,HRA000021
HRR067982.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067982.BQSR.bam,HRA000021
HRR067983.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067983.BQSR.bam,HRA000021
HRR067984.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067984.BQSR.bam,HRA000021
HRR067985.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067985.BQSR.bam,HRA000021
HRR067986.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067986.BQSR.bam,HRA000021
HRR067987.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067987.BQSR.bam,HRA000021
HRR067988.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067988.BQSR.bam,HRA000021
HRR067989.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067989.BQSR.bam,HRA000021
HRR067990.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067990.BQSR.bam,HRA000021
HRR067991.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067991.BQSR.bam,HRA000021
HRR067992.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067992.BQSR.bam,HRA000021
HRR067993.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067993.BQSR.bam,HRA000021
HRR067994.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067994.BQSR.bam,HRA000021
HRR067995.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067995.BQSR.bam,HRA000021
HRR067996.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067996.BQSR.bam,HRA000021
HRR067997.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067997.BQSR.bam,HRA000021
HRR067998.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067998.BQSR.bam,HRA000021
HRR067999.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067999.BQSR.bam,HRA000021
HRR068000.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068000.BQSR.bam,HRA000021
HRR068001.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068001.BQSR.bam,HRA000021
HRR068002.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068002.BQSR.bam,HRA000021
HRR068003.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068003.BQSR.bam,HRA000021
HRR068004.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068004.BQSR.bam,HRA000021
HRR068005.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068005.BQSR.bam,HRA000021
HRR068006.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068006.BQSR.bam,HRA000021
HRR068007.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068007.BQSR.bam,HRA000021
HRR068008.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068008.BQSR.bam,HRA000021
HRR068009.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068009.BQSR.bam,HRA000021
HRR068010.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068010.BQSR.bam,HRA000021
HRR068011.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068011.BQSR.bam,HRA000021
HRR068012.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068012.BQSR.bam,HRA000021
HRR068013.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068013.BQSR.bam,HRA000021
HRR068014.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068014.BQSR.bam,HRA000021
HRR068015.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068015.BQSR.bam,HRA000021
HRR068016.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068016.BQSR.bam,HRA000021
HRR068017.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068017.BQSR.bam,HRA000021
HRR068018.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068018.BQSR.bam,HRA000021
HRR068019.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068019.BQSR.bam,HRA000021
HRR068020.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068020.BQSR.bam,HRA000021
HRR068021.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068021.BQSR.bam,HRA000021
HRR068022.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068022.BQSR.bam,HRA000021
HRR068023.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068023.BQSR.bam,HRA000021
HRR068024.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068024.BQSR.bam,HRA000021
HRR068025.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068025.BQSR.bam,HRA000021
HRR068026.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068026.BQSR.bam,HRA000021
HRR068027.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068027.BQSR.bam,HRA000021
HRR068028.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068028.BQSR.bam,HRA000021
HRR068029.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068029.BQSR.bam,HRA000021
HRR068030.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068030.BQSR.bam,HRA000021
HRR068031.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068031.BQSR.bam,HRA000021
HRR068032.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068032.BQSR.bam,HRA000021
HRR068033.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068033.BQSR.bam,HRA000021
HRR068034.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068034.BQSR.bam,HRA000021
HRR068035.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068035.BQSR.bam,HRA000021
HRR068036.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068036.BQSR.bam,HRA000021
HRR068037.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068037.BQSR.bam,HRA000021
HRR068038.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068038.BQSR.bam,HRA000021
HRR068039.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068039.BQSR.bam,HRA000021
HRR068040.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068040.BQSR.bam,HRA000021
HRR068041.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068041.BQSR.bam,HRA000021
HRR068042.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068042.BQSR.bam,HRA000021
